brand,title,scent_type,price,priceWithCurrency,available,availableText,sold,lastUpdated,itemLocation
Carolina Herrera,Good Girl by Carolina Herrera 2.7 oz Eau De Parfum Spray Women's New & Sealed,"Jasmine, Saffron, Oakmoss, Blackcurrant, Musk",43.99,US $43.99/ea,2,2 available / 393 sold,393,"May 23, 2024 10:43:50 PDT","Thomasville, Alabama, United States"
As Shown,Parfums de Marly Delina La Rosee Eau de Parfum 2.5 Fl Oz/75ml Spray for Women,"Oud, Grapefruit, Apple, Rose",79.99,US $79.99,5,5 available / 40 sold,40,"May 24, 2024 00:15:48 PDT","New Jersey, Hong Kong"
PRADA,PRADA Paradoxe by Prada EDP 3.0oz/90ml Spray Perfume for Women New In Box,"Cinnamon, Lavender",59.99,US $59.99,10,More than 10 available / 35 sold,35,"May 14, 2024 20:54:25 PDT","Orange, New Jersey, United States"
As Show,J'adore Parfum D'eau by Christian 3.4 oz EDP Fragrance for Women New In Box,"Saffron, Cinnamon, Peach, Orange Blossom, Vetiver",59.99,US $59.99/ea,10,More than 10 available / 9 sold,9,"May 23, 2024 01:23:05 PDT","USA, New Jersey, Hong Kong"
Khadlaj,"Shiyaaka for Men EDP Spray 100ML (3.4 FL.OZ) By Khadlaj (Woody, Aromatic, Earth)","Vanilla, Cedarwood",29.99,US $29.99/ea,10,More than 10 available,,,"Little Ferry, New Jersey, United States"
Viktor & Rolf,Flowerbomb by Viktor & Rolf 3.4 oz 100ML Eau De Parfum Brand New Sealed In Box,"Lily of the Valley, Sandalwood, Jasmine",51.99,US $51.99/ea,8,8 available / 184 sold,184,"May 23, 2024 10:44:09 PDT","Warren, Michigan, United States"
AS SHOW,PRADA Paradoxe by Prada EDP 3.0oz/90ml Spray Perfume for Women New In Box US,"Coconut, Peach, Orange Blossom, Leather, Jasmine",58.99,US $58.99,,Out of Stock / 18 sold,18,"May 24, 2024 00:15:13 PDT","Astoria, New York, United States"
Versace,Versace Bright Crystal Women EDT 6.7 oz 200 ml New Sealed in Box,"Leather, Musk, Sandalwood, Coconut",52.79,US $52.79/ea,6,6 available / 258 sold,258,"May 21, 2024 06:41:13 PDT","Dexter, Michigan, United States"
Versace,Versace Bright Crystal by Versace for Women EDT Spray 3.0 oz / 90 ml New In Box,"Vetiver, Leather, Pepper",29.99,US $29.99,,Last One / 251 sold,251,"May 23, 2024 22:39:02 PDT","Jamaica, New York, United States"
Lattafa,Fakhar by Lattafa Eau de Parfum 3.4 oz / 100 ml Spray for Men,"Coffee, Patchouli, Sandalwood, Amber, Violet",22.75,US $22.75/ea,10,More than 10 available / 174 sold,174,"May 24, 2024 00:25:04 PDT","New York, New York, United States"
Yves Saint Laurent,Yves Saint Laurent Black Opium 3oz Eau de Parfum Women's New Sealed,"Violet, Ginger, Orange Blossom, Citrus",39.99,US $39.99/ea,10,More than 10 available / 77 sold,77,"May 24, 2024 11:01:13 PDT","Ecorse, Michigan, United States"
Gucci,Gucci Bloom 3.3oz / 3.4oz Eau de Parfum Women's Fragrance New Sealed,"Pepper, Oud",64.99,US $64.99/ea,10,More than 10 available / 35 sold,35,"May 24, 2024 11:01:04 PDT","Ecorse, Michigan, United States"
Carolina Herrera,Very Good Girl GLAM by Carolina Herrera 2.7 oz Eau de parfum Spray New & Sealed,"Pear, Blackcurrant, Apple",60.99,US $60.99/ea,2,2 available / 51 sold,51,"May 23, 2024 16:56:32 PDT","Quinlan, Texas, United States"
Carolina Herrera,Good Girl by Carolina Herrera 2.7 fl oz Spray Eau De Parfum New & Sealed,"Clove, Chocolate",43.49,US $43.49/ea,2,2 available / 20 sold,20,"May 22, 2024 10:25:36 PDT","Cincinnati, Ohio, United States"
Coach,Coach Floral 3.0 oz EDP eau de parfum spray womens perfume 90ml Tester,"Vetiver, Cypress, Cardamom",29.2,US $29.20/ea,10,More than 10 available / 505 sold,505,"May 08, 2024 09:46:06 PDT","Edison, New Jersey, United States"
Guerlain,Guerlain NEROLI OUTRENOIR Eau de Parfum 2ml /.06oz Sample Spray NIB,"Lily of the Valley, Lily, Clove",13,US $13.00,10,More than 10 available / 94 sold,94,"May 24, 2024 09:43:51 PDT","New York, New York, United States"
Philosophy,"Amazing Grace by Philosophy, 4 oz EDP Intense Spray for Women","Oud, Cedarwood",39.69,US $39.69/ea,10,More than 10 available / 234 sold,234,"May 24, 2024 10:21:14 PDT","Edison, New Jersey, United States"
Marc Jacobs,Marc Jacobs Decadence For Women by Marc Jacobs 3.4 oz 100ml EDP Spray New,"Leather, Vanilla, Pepper, Lily of the Valley",59.99,US $59.99,6,6 available / 34 sold,34,"May 22, 2024 18:32:01 PDT","New York,USA, Hong Kong"
AS SHOWN,PRADA Paradoxe By Prada EDP 3.0oz/90ml Spray Perfume For Women New In Box USA,"Rose, Pepper, Musk",59.99,US $59.99,,Last One / 43 sold,43,"May 23, 2024 01:10:19 PDT","New York, New York, United States"
Dolce & Gabbana,D&G DOLCE & GABBANA LIGHT BLUE EAU INTENSE WOMEN 1.5ml .05oz x 5 PERFUME SAMPLES,"Coffee, Cinnamon",11,US $11.00,10,"More than 10 available / 1,613 sold",1613,"Apr 05, 2024 00:52:19 PDT","Albany, New York, United States"
QRC,Oxytocin-N 15iu Per Spray 1oz (30ml),"Patchouli, Cypress, Amber, Peach, Chili",27,US $27.00/ea,10,More than 10 available / 218 sold,218,"Mar 20, 2024 12:14:58 PDT","Oklahoma City, Oklahoma, United States"
~ CREPE ERASE ~,CREPE ERASE-BODY FIRM ADVANCED BODY REPAIR TREATMENT ULTR- 3.3 OZ  Sealed W/OBox,"Orange Blossom, Citrus",29.99,US $29.99,10,More than 10 available / 1 sold,1,,"Melrose Park, Illinois, United States"
Unbranded,Lattafa YARA by Lattafa 3.4 Oz (100 ml) EDP Eau De Parfum Spray for Women.,"Sandalwood, Oakmoss, Orange Blossom, Oud, Leather",16.27,US $16.27/ea,300,300 available / 38 sold,38,"May 24, 2024 08:20:15 PDT","shanghai, China"
YSL,Libre by Yves Saint Laurent YSL 3 oz EDP Perfume for Women New in Box,"Apple, Grapefruit",54.95,US $54.95,,Last One / 25 sold,25,"May 24, 2024 00:08:02 PDT","Stuyvesant Falls, New York, United States"
Carolina Herrera,Carolina Herrera Good Girl 2.7 oz EDP Feminine & Empowering New,"Amber, Jasmine, Lily of the Valley",49.99,US $49.99/ea,6,6 available / 183 sold,183,"May 23, 2024 09:40:39 PDT","Macomb, Michigan, United States"
Parfums de Marly,Parfums de Marly Delina 2.5 oz/75 ml EDP Spray for Women New With Sealed Box,"Saffron, Cypress",84.99,US $84.99,4,4 available / 71 sold,71,"May 22, 2024 01:30:45 PDT","California or Hong Kong, Hong Kong"
Yves Saint Laurent,Mon Paris 3 oz Perfume by Yves Saint Laurent 90 ml Womens Spray EDP New & Sealed,"Cardamom, Chocolate, Oakmoss, Chili, Violet",39.99,US $39.99/ea,8,8 available / 126 sold,126,"May 24, 2024 05:51:11 PDT","Farmington, Michigan, United States"
Dolce&Gabbana,Dolce & Gabbana Light Blue 6.7 oz Spray Eau De Toilette Women's New & Sealed,"Ginger, Patchouli, Chili, Vanilla, Musk",53.99,US $53.99,,Out of Stock / 54 sold,54,"May 24, 2024 03:14:29 PDT","Ecorse, Michigan, United States"
EX NIHILO,Blue Taliman by Ex Nihilo Eau De Parfum 3.3oz/100ml Unisex Spray New With Box,"Pepper, Oakmoss",99.99,US $99.99,4,4 available / 29 sold,29,"May 23, 2024 03:50:04 PDT","California or Hong Kong, Hong Kong"
Juliette has a gun,Not a Perfume by Juliette has a gun 3.3 oz EDP Perfume for Women Tester,"Jasmine, Chocolate, Saffron, Lavender, Orange Blossom",40.92,US $40.92/ea,,"Limited quantity available / 1,571 sold",1571,"May 24, 2024 07:32:36 PDT","Hackensack, New Jersey, United States"
Davidoff,Davidoff Cool Water Sea Rose Eau De Toilette Spray For Her 100 Ml NEW IN BOX,"Cypress, Lily, Amber",22.9,US $22.90/ea,10,More than 10 available / 291 sold,291,"May 08, 2024 17:11:47 PDT","Princeton Junction, New Jersey, United States"
Viktor & Rolf,Viktor Rolf Flowerbomb 3.4 oz L'Eau De Parfum Spray New Factory Sealed in Box,"Lily of the Valley, Jasmine, Cinnamon",42,US $42.00/ea,4,4 available / 406 sold,406,"May 23, 2024 22:57:33 PDT","Portland, Oregon, United States"
Giorgi^o Armani,Sì Passione by Giorgio Armani For Women 3.4 Oz Eau De Parfum Spray New in Box,"Chocolate, Coffee, Peach, Patchouli, Oakmoss",44.88,US $44.88/ea,7,7 available / 147 sold,147,"May 20, 2024 00:21:18 PDT","South El Monte, California, United States"
PRADA,Prada Les infusions De Milano Iris Cedre for Women 3.4oz/100ml EDP Spray In Box,"Saffron, Vetiver, Lily of the Valley",66.99,US $66.99,10,More than 10 available / 3 sold,3,"May 23, 2024 18:00:47 PDT","Perth Amboy, New Jersey, United States"
Roja,Roja Parfums Isola Blu Parfum Unisex 50ml / 1.7oz New With Sealed Box,"Sandalwood, Lily, Vetiver, Citrus, Saffron",129.99,US $129.99,5,5 available / 37 sold,37,"May 24, 2024 09:25:04 PDT","United States, Canada"
AS SHOWN,Perfume EDP for Women 3.4 oz / 100 ml Brand NEW,"Cinnamon, Citrus",22.99,US $22.99,10,10 available / 11 sold,11,"May 24, 2024 06:30:59 PDT","CA, China"
Parfums de Marly,PDM PARFUMS DE MARLY DELINA EXCLUSIF 1.5ml .05fl oz x 1 PERFUME SPRAY SAMPLE,"Pepper, Grapefruit, Rose, Lily of the Valley, Apple",12,US $12.00,10,More than 10 available / 59 sold,59,,"Albany, New York, United States"
Marc Jacobs,Marc Jacobs Daisy Eau So Fresh 4.2 oz / 125 mL Eau De Toilette Brand New Sealed,"Pear, Raspberry, Pepper, Musk, Rose",32.95,US $32.95,10,More than 10 available / 68 sold,68,"May 17, 2024 04:50:31 PDT","College Point, New York, United States"
Ariana Grande,Cloud by Ariana Grande 3.4 oz / 100 ML EDP Perfume for Women New In Box Sealed,"Lily, Coconut, Amber, Peach, Oakmoss",31.05,US $31.05/ea,9,9 available / 54 sold,54,"May 23, 2024 21:28:14 PDT","Detroit, Michigan, United States"
Versace,Versace Dylan Turquoise by Gianni Versace for women EDT 3.3 / 3.4 oz New Tester,"Grapefruit, Musk, Cypress",32.2,US $32.20/ea,60,60 available / 157 sold,157,"May 17, 2024 06:09:15 PDT","Dallas, Texas, United States"
Sol De Janeiro,Sol de Janeiro Mini Brazilian Crush Body Fragrance Mist 3.04 oz/ 90 mL,"Lily of the Valley, Cinnamon, Sandalwood, Blackcurrant, Chili",17.9,US $17.90/ea,10,More than 10 available / 4 sold,4,"May 21, 2024 19:47:36 PDT","Round Rock, Texas, United States"
Kilian,Love by Kilian Don't Be Shy Eau de Parfum 7.5 ml/0.25 fl. oz. Free Shipping …,"Vanilla, Coconut",29.75,US $29.75,9,9 available / 80 sold,80,"May 24, 2024 09:49:39 PDT","Tulsa, Oklahoma, United States"
Donna Karan,Donna Karan CASHMERE MIST Deodorant-Anti-Perspirant Stick 1 OZ / 30mL NEW,"Pepper, Citrus, Raspberry, Cinnamon, Chocolate",19.99,US $19.99/ea,10,More than 10 available / 441 sold,441,"May 20, 2024 11:47:05 PDT","Elizabeth, New Jersey, United States"
Carolina Herrera,Carolina Herrera Good Girl 2.7 oz Eau De Parfum Spray Women's New & Sealed,"Cedarwood, Cardamom",43.99,US $43.99/ea,2,2 available / 16 sold,16,"May 24, 2024 02:41:54 PDT","San Jose, California, United States"
Carolina Herrera,Very Good Girl GLAM by Carolina Herrera 2.7 oz EDP Spray Women's New & Sealed.,"Oakmoss, Coconut, Cardamom, Pepper",59.99,US $59.99/ea,2,2 available / 21 sold,21,"May 22, 2024 16:11:22 PDT","Cincinnati, Ohio, United States"
Marc Jacobs,Marc Jacobs Daisy Women's Eau De Toilette Spray For Women EDT 3.4Oz 100ml New,"Leather, Rose, Amber, Raspberry, Oud",42.88,US $42.88,10,More than 10 available / 71 sold,71,"May 19, 2024 22:27:54 PDT","College Point, New York, United States"
Parfums de Marly,PARFUMS de MARLY DELINA for WOMEN 2.5 oz (75ml) EDP Spray NEW SEALED  BOX,"Apple, Musk, Clove, Orange Blossom",100.99,US $100.99,,Last One / 49 sold,49,"May 17, 2024 03:05:11 PDT","Buffalo Mills, Pennsylvania, United States"
Juliette has a gun,Juliette Has A Gun Discovery Kit includes LUST for sun SEALED new,"Lavender, Vanilla, Amber, Clove",26.05,US $26.05/ea,10,More than 10 available / 128 sold,128,"May 19, 2024 15:38:07 PDT","Winter Garden, Florida, United States"
AS SHOWN,Flora Gorgeous Jasmine 3.3 oz / 100 ml EDP Perfume Spray for Women New In Box,"Musk, Oakmoss, Pepper, Patchouli, Peach",54.99,US $54.99/ea,5,5 available / 60 sold,60,"May 24, 2024 01:42:35 PDT","USA,California, Hong Kong"
Carolina Herrera,"Carolina Herrera's Good Girl 2.7 Oz – Women's EDP, New in Sealed Box","Cypress, Coffee, Chili, Sandalwood, Leather",49.99,US $49.99/ea,6,6 available / 179 sold,179,"May 21, 2024 07:50:00 PDT","Dearborn, Michigan, United States"
Viktor & Rolf,FLOWERBOMB BY VIKTOR & ROLF 3.4 OZ SPRAY EAU DE PARFUM SPRAY NEW & SEALED,"Clove, Vanilla, Citrus, Cedarwood",47.49,US $47.49/ea,2,2 available / 208 sold,208,"May 24, 2024 02:09:07 PDT","Houston, Texas, United States"
Carolina Herrera,Good Girl by Carolina Herrera 2.7 Fl oz Spray Eau De Parfum Women's New & Sealed,"Oakmoss, Rose, Saffron, Citrus, Oud",43.99,US $43.99,,Last One / 166 sold,166,"May 23, 2024 10:39:45 PDT","Pfafftown, North Carolina, United States"
Narciso Rodriguez,Narciso Rodriguez for Her 3.3 / 100ML EDP Perfume for Women New In Box,"Ginger, Amber, Jasmine, Leather, Patchouli",32,US $32.00,10,More than 10 available / 87 sold,87,"May 07, 2024 20:40:26 PDT","College Point, New York, United States"
Coach,Coach Wild Rose 3.0 oz EDP eau de parfum spray womens perfume 90 ml Tester,"Musk, Vanilla, Raspberry, Amber",31.5,US $31.50/ea,10,More than 10 available / 287 sold,287,"May 15, 2024 12:02:03 PDT","Edison, New Jersey, United States"
Giorgio² Armani,My Way by Giorgio Armani 3oz 90ml EDP Perfume for Women New In Box,"Musk, Violet",42.99,US $42.99/ea,5,5 available / 243 sold,243,"May 23, 2024 00:16:33 PDT","College Point, New York, United States"
Yves Saint Laurent,"Libre, Eau De Parfum Intense By Yves Saint Laurent 3oz for Women NEW","Cypress, Peach, Pear, Patchouli",98.99,US $98.99,3,3 available / 56 sold,56,"Apr 24, 2024 01:25:42 PDT","Houston, Texas, United States"
Viktor & Rolf,Flowerbomb by Viktor & Rolf 3.4 oz L'Eau de Parfum Spray Factory Sealed New,"Saffron, Lily, Cinnamon, Lily of the Valley",42,US $42.00/ea,4,4 available / 404 sold,404,"May 23, 2024 22:47:11 PDT","Chico, California, United States"
KENZO,Kenzo Amour by Kenzo EDP For Women Spray 3.3 oz / 100 ml *NEW IN BOX*,"Amber, Violet, Cypress, Vanilla",39.99,US $39.99,10,More than 10 available / 102 sold,102,"May 08, 2024 10:56:21 PDT","Miami, Florida, United States"
Burberry,Burberry Touch by Burberry 3.3 / 3.4 oz EDP Spray For Women Brand New Sealed,"Musk, Orange Blossom, Grapefruit",27.99,US $27.99/ea,10,More than 10 available / 87 sold,87,"May 23, 2024 08:37:54 PDT","Warren, Michigan, United States"
Carolina Herrera,Good Girl by Carolina Herrera 2.7 Fl oz Eau De Parfum Spray New & Sealed In Box,"Citrus, Blackcurrant, Pepper, Coconut",42.99,US $42.99/ea,2,2 available / 130 sold,130,"May 24, 2024 07:12:21 PDT","Santa Cruz, California, United States"
Thierry Mugler,Thierry Mugler Angel 1.7oz EDP Women's Perfume Spray New Sealed,"Patchouli, Vanilla, Pear, Cypress",43.99,US $43.99/ea,6,6 available / 25 sold,25,"May 23, 2024 09:03:13 PDT","Detroit, Michigan, United States"
Versace,Versace Bright Crystal Eau De Toilette Rollerball Women 0.3 Oz/10 Ml,"Cinnamon, Coconut, Sandalwood, Vetiver",15.49,US $15.49/ea,10,"More than 10 available / 1,089 sold",1089,"Apr 30, 2024 06:41:19 PDT","Keyport, New Jersey, United States"
Lattafa,Lattafa Fakhar EDP Spray 3.4 oz / 100 ml for Men,"Orange Blossom, Leather, Lily of the Valley",23.25,US $23.25/ea,10,More than 10 available / 19 sold,19,"May 24, 2024 11:15:06 PDT","New York, New York, United States"
Donna Karan,"Be Delicious DKNY by Donna Karan, 8 oz Fragrance Mist for Women","Lily of the Valley, Jasmine",16.26,US $16.26/ea,10,More than 10 available / 110 sold,110,"May 24, 2024 10:21:10 PDT","Edison, New Jersey, United States"
Yves Saint Laurent,Yves Saint Laurent Libre Eau De Parfum  3.0 oz / 90 ml for Women,"Citrus, Coconut, Orange Blossom",49.68,US $49.68/ea,10,More than 10 available / 25 sold,25,"May 22, 2024 18:49:21 PDT","Sacramento, California, United States"
Gucci,Gucci Flora Gorgeous Gardenia 3.3oz Women's Eau de Toilette Spray New Sealed Box,"Violet, Oakmoss, Cardamom",49.99,US $49.99/ea,4,4 available / 41 sold,41,"May 23, 2024 15:01:38 PDT","El Monte, California, United States"
Dolce&Gabbana,Dolce & Gabbana Light Blue 3.3 /3.4 oz Women’s Eau de Toilette Spray NEW,"Lavender, Vanilla, Patchouli, Lily of the Valley",27.9,US $27.90/ea,2,2 available / 118 sold,118,"May 22, 2024 12:46:15 PDT","Warren, Michigan, United States"
Yves Saint Laurent,New Yves Saint Laurent Libre Eau De Parfum EDP Spray for Women 3.0 fl oz/90 ml！,"Lavender, Sandalwood, Amber",49.99,US $49.99/ea,5,5 available / 15 sold,15,"May 23, 2024 20:42:19 PDT","Houston, Texas, United States"
Juicy Couture,VIVA LA JUICY GOLD COUTURE by Juicy Couture Women 3.3 / 3.4 oz EDP New in Box,"Amber, Vanilla, Pear, Orange Blossom, Cardamom",36.79,US $36.79/ea,68,"68 available / 1,498 sold",1498,"May 24, 2024 09:05:08 PDT","Dallas, Texas, United States"
Marc Jacobs,Daisy Eau So Fresh Perfume by Marc Jacobs 4.2 oz EDT Spray for Women. Sealed Box,"Vanilla, Blackcurrant, Amber",39.99,US $39.99/ea,10,"More than 10 available / 1,129 sold",1129,"May 24, 2024 06:47:19 PDT","Lincoln Park, Michigan, United States"
Maison Margiela,Maison Margiela Replica Sailing Day Eau de Toilette 3.4 oz New in Box US,"Lily, Cinnamon, Jasmine",48.88,US $48.88,10,More than 10 available / 14 sold,14,,"College Point, New York, United States"
Carolina Herrera,Carolina Herrera Very Good Girl 2.7 oz Daring Floral EDP New,"Ginger, Sandalwood, Clove, Raspberry, Musk",55.99,US $55.99/ea,6,6 available / 193 sold,193,"May 23, 2024 09:40:55 PDT","Macomb, Michigan, United States"
Giorgio² Armani,My Way by Giorgio Armani 3 oz EDP Perfume for Women New In Box,"Jasmine, Apple, Sandalwood, Violet",42.98,US $42.98,10,More than 10 available / 29 sold,29,"May 07, 2024 20:41:14 PDT","College Point, New York, United States"
Jo Malone,Jo Malone London Cologne Spray Travel Size 9ml/0.3oz **Choose Your Scent** NEW,"Lily of the Valley, Cinnamon, Lily, Grapefruit",15.98,US $15.98/ea,10,More than 10 available / 40 sold,40,"May 24, 2024 02:23:41 PDT","Houston, Texas, United States"
Elizabeth Arden,Elizabeth Arden White Tea Fragrance Collection Set for Women - 3Pc Mini Gift Set,"Vanilla, Jasmine, Patchouli",19.45,US $19.45,50,50 available / 2 sold,2,"May 24, 2024 07:12:19 PDT","Ronkonkoma, New York, United States"
Juliette has a gun,"Not a Perfume by Juliette Has A Gun, 3.3 oz EDP Spray for Women Eau De Parfum","Cardamom, Lavender, Vetiver, Jasmine, Cypress",49.99,US $49.99/ea,2,2 available / 288 sold,288,"May 23, 2024 01:42:58 PDT","Plano, United States"
Sol De Janeiro,After Hours by Sol de Janeiro 3OZ/90 ML Fragrance Hair Body Mist Unisex Spray,"Oakmoss, Rose, Clove, Grapefruit, Peach",20.49,US $20.49/ea,8,8 available / 190 sold,190,"May 23, 2024 18:04:39 PDT","Dayton,New Jersey, Hong Kong"
Narciso Rodriguez,Narciso Rodriguez for Her 3.3 fl oz / 100 ml EDP New Sealed Free Shipping,"Patchouli, Leather, Lily of the Valley, Ginger, Apple",31,US $31.00/ea,4,4 available / 266 sold,266,"May 23, 2024 23:12:08 PDT","Bethpage, New York, United States"
Urban Outfitters,Urban Outfitters Le Monde  Gourmand Eau De Parfum Fraise Fouettee 070 1oz.,"Pepper, Vanilla",24.99,US $24.99/ea,9,9 available / 9 sold,9,"May 20, 2024 04:20:56 PDT","Kennesaw, Georgia, United States"
Dossier,Dossier Ambery Vanilla Eau de Parfum. Size: 50ml / 1.7oz,"Ginger, Peach, Apple, Violet, Raspberry",19,US $19.00/ea,10,More than 10 available / 10 sold,10,,"Los Angeles, California, United States"
Dolce & Gabbana,D&G DOLCE & GABBANA DEVOTION EDP 1.5ml .05fl oz x 4 PERFUME SPRAY SAMPLE VIALS,"Citrus, Musk, Peach, Patchouli",14,US $14.00,10,More than 10 available / 266 sold,266,,"Albany, New York, United States"
Maison Alhambra,Glacier Bold EDP Perfume By Maison Alhambra Lattafa 100 M 💯 (Le Beau Le Perfume,"Cinnamon, Violet, Lily",34,US $34.00,10,10 available / 45 sold,45,"May 18, 2024 19:20:33 PDT","Astoria, New York, United States"
ALT Fragrances,"ALT Fragrances - Crystal No. 23 EDP (Inspired by Baccarat Rouge 540), 2 oz","Orange Blossom, Musk, Grapefruit, Oakmoss, Coffee",49,US $49.00,10,More than 10 available / 443 sold,443,"May 24, 2024 10:49:13 PDT","Van Nuys, California, United States"
Estée Lauder,"Estee Lauder Cinnabar Eau De Parfum Spray, 1.7 oz / 50 ml Perfume, NWOB","Peach, Chocolate, Pear, Jasmine",54.99,US $54.99/ea,10,More than 10 available / 17 sold,17,"Mar 13, 2024 13:05:30 PDT","Richmond, Texas, United States"
Victoria's Secret,Victoria's Secret Very Sexy Women's Perfume EDP 3.4 oz 100 ml New Sealed,"Ginger, Pepper, Oud, Chocolate",30.99,US $30.99/ea,10,More than 10 available / 302 sold,302,"May 24, 2024 09:52:30 PDT","Flat Lick, Kentucky, United States"
Kim Kardashian,KIM KARDASHIAN GOLD Perfume 3.3 / 3.4 oz EDP For Women NEW IN BOX,"Violet, Ginger, Cinnamon, Oakmoss, Rose",16.63,US $16.63/ea,37,37 available / 528 sold,528,"May 14, 2024 12:55:23 PDT","Dallas, Texas, United States"
Thierry Mugler,Angel Standing Star Thierry Mugler 3.3 oz EDP Refillable Perfume for Women NIB,"Chocolate, Rose",60,US $60.00,10,More than 10 available / 256 sold,256,"May 22, 2024 07:47:08 PDT","Hamtramck, Michigan, United States"
Viktor & Rolf,Flowerbomb by Viktor & Rolf EDP for Women 50 ml - 1.7 oz  *NEW IN SEALED BOX*,"Vanilla, Saffron, Orange Blossom, Cedarwood, Coconut",42.99,US $42.99,10,More than 10 available / 155 sold,155,"Mar 25, 2024 07:47:16 PDT","Miami, Florida, United States"
Gap,GAP DREAM BODY MIST 8FL OZ/236 mL FREE SHIPPING NEW,"Cypress, Lily, Raspberry, Chili",19,US $19.00,10,More than 10 available / 35 sold,35,,"Hamtramck, Michigan, United States"
Cacharel,AMOR AMOR by Cacharel Perfume for women 3.3 oz / 3.4 oz edt New,"Jasmine, Ginger, Grapefruit, Peach",25.27,US $25.27/ea,106,106 available / 539 sold,539,"May 21, 2024 09:40:08 PDT","Dallas, Texas, United States"
Dolce&Gabbana,Dolce & Gabbana Light Blue  3.3 oz / 3.4 oz EDT Spray for Women Brand New Sealed,"Vetiver, Lavender, Violet, Sandalwood, Pear",29.9,US $29.90/ea,10,More than 10 available / 327 sold,327,"May 24, 2024 10:40:07 PDT","Walled Lake, Michigan, United States"
Jessica McClintock,Jessica Mc Clintock by Jessica McClintock 3.4 oz EDP Perfume for Women Tester,"Apple, Citrus, Cardamom, Sandalwood",20.93,US $20.93/ea,,"Limited quantity available / 1,484 sold",1484,"May 19, 2024 20:52:45 PDT","Hackensack, New Jersey, United States"
AS  SHOWN,Women Perfume 3.4 oz / 100 ml Eau De Toilette Spray,"Raspberry, Coffee",30.98,US $30.98,10,10 available / 12 sold,12,"May 24, 2024 06:30:49 PDT","CA, China"
Versace,Versace Bright Crystal Eau De Toilette Spray 6.7 oz Factory Sealed Free Shipping,"Orange Blossom, Vanilla",41.5,US $41.50/ea,3,3 available / 255 sold,255,"May 24, 2024 01:02:37 PDT","San Jose, California, United States"
Kilian,Roses on Ice by Kilian 1.7 oz Eau de Parfum Spray for Women-New In Box,"Orange Blossom, Cinnamon, Rose, Sandalwood, Blackcurrant",64.99,US $64.99/ea,5,5 available / 4 sold,4,"May 19, 2024 18:49:34 PDT","New Jersey,United States, Hong Kong"
Ariana Grande,"Ariana Grande Cloud Pink - Charming 3.4oz Eau de Parfum, Sealed","Lily of the Valley, Lily, Amber",29.99,US $29.99/ea,9,9 available / 57 sold,57,"May 22, 2024 08:29:28 PDT","Dearborn Heights, Michigan, United States"
Marc Jacobs,Daisy Eau So Fresh by Marc Jacobs for Women EDT Spray 4.2 oz / 125 ml New In Box,"Lavender, Sandalwood",30.79,US $30.79,3,3 available / 493 sold,493,"May 23, 2024 19:51:45 PDT","Jamaica, New York, United States"
Yves Saint Laurent,Mon Paris by Yves Saint Laurent 3 fl oz/90 ml EDP Spray for Women New & Sealed,"Violet, Orange Blossom",39.99,US $39.99/ea,10,10 available / 66 sold,66,"May 21, 2024 10:04:56 PDT","Saint Clair Shores, Michigan, United States"
Clinique,Clinique Happy by Clinique 3.3 / 3.4 oz Perfume EDP Spray for women NEW IN BOX,"Chili, Peach, Saffron, Lily, Leather",21.27,US $21.27,2,2 available / 61 sold,61,"May 09, 2024 20:50:21 PDT","CA, United States"
Unbranded,Yara by Lattafa Perfumes | Eau De Parfum-100ml (3.4 fl oz) |-Female Long Lasting,"Leather, Vanilla",15.89,US $15.89,10,More than 10 available / 434 sold,434,"May 24, 2024 06:56:49 PDT","shanghai, China"
Valentino,Valentine Milano For Women Perfume 3.4 fl.oz from Fragrance Couture.,"Amber, Chocolate, Patchouli, Lily of the Valley",10.99,US $10.99/ea,10,More than 10 available / 94 sold,94,"May 08, 2024 15:45:55 PDT","Katy, Texas, United States"
Giorgio Armani,New Si by Giorgio Armani 3.4 oz / 100 mL EDP Perfume for Women - USA,"Orange Blossom, Violet",37.88,US $37.88/ea,8,8 available / 108 sold,108,"May 24, 2024 00:00:36 PDT","College Point, New York, United States"
Dolce&Gabbana,Light Blue 3.3 oz by Dolce & Gabbana EDT Perfume for Women New In Box & SEALED,"Chocolate, Pepper, Lily, Cedarwood",30.95,US $30.95/ea,8,8 available / 245 sold,245,"May 24, 2024 05:48:01 PDT","Sterrett, Alabama, United States"
Jimmy Choo,ILLICIT FLOWER by Jimmy Choo for women EDT 3.3 / 3.4 oz New Tester,"Oud, Violet, Saffron",25.23,US $25.23/ea,8,8 available / 909 sold,909,"May 23, 2024 12:50:15 PDT","Dallas, Texas, United States"
Calvin Klein,Obsession by Calvin Klein EDP Perfume for Women 3.3 / 3.4 oz New Tester,"Violet, Raspberry, Patchouli, Clove, Cinnamon",23.88,US $23.88/ea,,"Limited quantity available / 5,587 sold",5587,"May 22, 2024 07:35:03 PDT","Hackensack, New Jersey, United States"
Victoria's Secret,VICTORIA'S SECRET Bombshell Seduction Fine Fragrance Mist 8.4 fl oz - NEW,"Musk, Oud, Coconut, Cypress",18.5,US $18.50,6,6 available / 23 sold,23,"May 21, 2024 05:35:10 PDT","Lisle, Illinois, United States"
