brand,title,scent_type,price,priceWithCurrency,available,availableText,sold,lastUpdated,itemLocation
Jo Malone,Jo Malone Nectarine Blossom & Honey Cologne Women's Eau de  - 3.4 fl oz/100ml,"Sandalwood, Oakmoss, Citrus",79.99,US $79.99,5,5 available / 5 sold,5,"Apr 30, 2024 01:12:46 PDT","Las Vegas, Nevada, United States"
CHANEL,Chanel Chance Eau Tendre EDP Eau de Parfume Spray 3.4 Oz 100 Ml (Sealed Box),"Rose, Peach",118.99,US $118.99,6,6 available / 36 sold,36,"May 21, 2024 01:46:26 PDT","Glendale, California, United States"
Fragonard,Gucci Bloom EDP 3.3 oz 3.4 oz | Women's Perfume Spray,"Vetiver, Clove, Lily",64.99,US $64.99,,Last One / 5 sold,5,"May 13, 2024 04:44:57 PDT","89101, United States"
Afnan,Mystique Bouquet by Afnan Eau De Parfum Spray for Woman 2.7oz New Sealed Box,"Chili, Leather, Cypress",41.5,US $41.50/ea,4,4 available / 17 sold,17,"May 17, 2024 09:05:48 PDT","Dallas, Texas, United States"
Lancôme,Lancome LA VIE EST BELLE Eau de Parfum EDP Perfume 4ml Splash Mini Bottle NWOB,"Citrus, Chocolate",7.95,US $7.95/ea,10,More than 10 available / 162 sold,162,"May 22, 2024 22:50:14 PDT","Newark, Delaware, United States"
True Religion,True Religion Perfume for Women 3.4 oz 100 ml EDP New in Box,"Vetiver, Orange Blossom, Cardamom",24.98,US $24.98/ea,234,234 available / 888 sold,888,"May 24, 2024 08:18:09 PDT","Dallas, Texas, United States"
Thierry Mugler,Alien by Thierry Mugler perfume for women EDP 2 / 2.0 oz New in Box,"Pear, Coffee, Raspberry, Saffron",64.54,US $64.54/ea,29,29 available / 68 sold,68,"May 22, 2024 10:12:21 PDT","Dallas, Texas, United States"
Lattafa,Lattafa Ladies Haya EDP 3.4 oz Fragrances 6291108738504,"Cypress, Cedarwood",34.77,US $34.77,3,3 available / 9 sold,9,"May 23, 2024 08:44:45 PDT","Brooklyn, New York, United States"
Yves Saint Laurent,Yves Saint Laurent Women's Opium 1.6 Oz  Eau de Toilette Spray Brand New Sealed,"Patchouli, Cardamom",29.99,US $29.99/ea,10,More than 10 available / 21 sold,21,"May 23, 2024 11:26:56 PDT","Fort Wayne, Indiana, United States"
Ariana Grande,Ariana Grande Cloud Pink Perfume 3.4oz EDP Ethereal Bliss Brand New,"Chili, Cypress, Vanilla, Oakmoss, Vetiver",29.99,US $29.99/ea,9,9 available / 14 sold,14,"May 20, 2024 08:51:25 PDT","Detroit, Michigan, United States"
Viktor & Rolf,Viktor & Rolf Flowerbomb EDP 3.4oz | Explosive Floral Perfume | Sealed,"Pepper, Leather, Cypress",52.99,US $52.99/ea,6,6 available / 30 sold,30,"May 24, 2024 08:50:56 PDT","Dearborn Heights, Michigan, United States"
Lanvin,ECLAT D'ARPEGE by Lanvin 3.3 / 3.4 oz EDP Perfume For Women New tester,"Lily of the Valley, Pear, Cardamom, Rose, Grapefruit",24.79,US $24.79/ea,70,70 available / 757 sold,757,"May 24, 2024 07:54:09 PDT","Dallas, Texas, United States"
